"Offense","Count"
"ATM FORC RAPE-WEP/INJ->1/VIC<12",1
"ATM FORC SOD-WEP/INJ->1PER/VIC<12",1
"ATMPT STAT SODOMY-1ST DEG-PERS<14",1
"ATT AGG INDECENT LIBERTIES WITH A CHILD",1
"ATT AGGRAVATED INDECENT LIBERTIES",1
"ATT AGGRAVATED INDECENT LIBERTIES W/CHILD",1
"ATT ENTICEMENT OF MINOR/INTERNET",1
"ATT INDECENT ACTS",1
"ATT INDECENT LIBERTIES W/CHILD",1
"ATT RAPE",1
"ATT RAPE 2ND DEGREE",1
"ATT SEXUAL ABUSE OF A CHILD 3RD",1
"ATT UNLAWFUL SEXUAL INTERCOURSE",1
"ATTEMP AGGRAVATED INDECENT LIBERTIES WITH A CHILD",1
"ATTEMP TRANSPORTING A PROSTITUTE",1
"ATTEMPED LEWDNESS WITH MINOR UNDER 14",1
"ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE",1
"ATTEMPT AGGRAVATED INDECENT LIBERTIES WITH A CHILD",1
"ATTEMPT AGGRAVATED SEXUAL ASSAULT",1
"ATTEMPT CHILD MOLESTATION",1
"ATTEMPT CRIMINAL SEXUAL CONDUCT",1
"ATTEMPT CRIMINAL SEXUAL CONDUCT - 3RD DEGREE",1
"ATTEMPT INDECENT LIBERTIES W/CHILD",1
"ATTEMPT KIDNAPPING",1
